NUM_SEC_ARCHIVO,FEC_OPERACION,FECHA_HORA,ESTADO_TRANSFERENCIA,ESTADO_ARCHIVO,VAL_SEGUNDOS
74682,2025-01-02 12:14:50.683,2025-01-02 14:36:04.000,ENVIADO,RECIBIDO,8473.32
74682,2025-01-02 13:27:46.073,2025-01-02 14:36:04.000,ENVIADO,RECIBIDO,4097.93
74682,2025-01-02 13:44:39.177,2025-01-02 14:36:04.000,ENVIADO,RECIBIDO,3084.82
74709,2025-01-03 12:10:23.510,2025-01-03 14:36:04.000,ENVIADO,RECIBIDO,8740.49
74709,2025-01-03 12:10:23.510,2025-01-03 14:36:04.000,ENVIADO,RECIBIDO,8740.49
74709,2025-01-03 14:14:37.167,2025-01-03 14:36:04.000,ENVIADO,RECIBIDO,1286.83
74709,2025-01-03 14:14:37.167,2025-01-03 14:36:04.000,ENVIADO,RECIBIDO,1286.83
74709,2025-01-03 14:19:02.047,2025-01-03 14:36:04.000,ENVIADO,RECIBIDO,1021.95
74709,2025-01-03 14:19:02.047,2025-01-03 14:36:04.000,ENVIADO,RECIBIDO,1021.95
74740,2025-01-06 09:24:39.413,2025-01-06 12:15:14.000,ENVIADO,RECIBIDO,10234.59
74740,2025-01-06 09:24:39.413,2025-01-06 12:15:14.000,ENVIADO,RECIBIDO,10234.59
74752,2025-01-06 13:13:23.880,2025-01-06 14:36:07.000,ENVIADO,RECIBIDO,4963.12
74752,2025-01-06 13:13:23.880,2025-01-06 14:36:07.000,ENVIADO,RECIBIDO,4963.12
74752,2025-01-06 13:15:34.913,2025-01-06 14:36:07.000,ENVIADO,RECIBIDO,4832.09
74752,2025-01-06 13:15:34.913,2025-01-06 14:36:07.000,ENVIADO,RECIBIDO,4832.09
74752,2025-01-06 13:22:11.547,2025-01-06 14:36:07.000,ENVIADO,RECIBIDO,4435.45
74752,2025-01-06 13:22:11.547,2025-01-06 14:36:07.000,ENVIADO,RECIBIDO,4435.45
74774,2025-01-07 09:20:39.940,2025-01-07 12:15:22.000,ENVIADO,RECIBIDO,10482.06
74774,2025-01-07 09:56:42.000,2025-01-07 12:15:22.000,ENVIADO,RECIBIDO,8320.00
74774,2025-01-07 10:49:32.350,2025-01-07 12:15:22.000,ENVIADO,RECIBIDO,5149.65
74786,2025-01-07 14:18:15.717,2025-01-07 14:36:05.000,ENVIADO,RECIBIDO,1069.28
74786,2025-01-07 14:18:15.717,2025-01-07 14:36:05.000,ENVIADO,RECIBIDO,1069.28
74809,2025-01-08 11:29:12.550,2025-01-08 12:15:15.000,ENVIADO,RECIBIDO,2762.45
74809,2025-01-08 11:29:12.550,2025-01-08 12:15:15.000,ENVIADO,RECIBIDO,2762.45
74809,2025-01-08 11:34:49.320,2025-01-08 12:15:15.000,ENVIADO,RECIBIDO,2425.68
74809,2025-01-08 11:34:49.320,2025-01-08 12:15:15.000,ENVIADO,RECIBIDO,2425.68
74820,2025-01-08 13:13:54.980,2025-01-08 14:36:04.000,ENVIADO,RECIBIDO,4929.02
74820,2025-01-08 14:22:47.890,2025-01-08 14:36:04.000,ENVIADO,RECIBIDO,796.11
74842,2025-01-09 08:20:56.907,2025-01-09 12:15:14.000,ENVIADO,RECIBIDO,14057.09
74842,2025-01-09 08:21:32.987,2025-01-09 12:15:14.000,ENVIADO,RECIBIDO,14021.01
74842,2025-01-09 09:05:03.777,2025-01-09 12:15:14.000,ENVIADO,RECIBIDO,11410.22
74842,2025-01-09 10:40:55.133,2025-01-09 12:15:14.000,ENVIADO,RECIBIDO,5658.87
74842,2025-01-09 10:53:32.060,2025-01-09 12:15:14.000,ENVIADO,RECIBIDO,4901.94
74842,2025-01-09 11:13:41.157,2025-01-09 12:15:14.000,ENVIADO,RECIBIDO,3692.84
74842,2025-01-09 11:27:47.177,2025-01-09 12:15:14.000,ENVIADO,RECIBIDO,2846.82
74854,2025-01-09 12:39:30.523,2025-01-09 14:36:04.000,ENVIADO,RECIBIDO,6993.48
74854,2025-01-09 12:39:30.523,2025-01-09 14:36:04.000,ENVIADO,RECIBIDO,6993.48
74877,2025-01-10 00:37:59.160,2025-01-10 12:15:13.000,ENVIADO,RECIBIDO,41833.84
74877,2025-01-10 09:26:01.747,2025-01-10 12:15:13.000,ENVIADO,RECIBIDO,10151.25
74877,2025-01-10 09:36:14.807,2025-01-10 12:15:13.000,ENVIADO,RECIBIDO,9538.19
74877,2025-01-10 10:14:09.137,2025-01-10 12:15:13.000,ENVIADO,RECIBIDO,7263.86
74877,2025-01-10 10:19:07.143,2025-01-10 12:15:13.000,ENVIADO,RECIBIDO,6965.86
74877,2025-01-10 10:21:03.050,2025-01-10 12:15:13.000,ENVIADO,RECIBIDO,6849.95
74877,2025-01-10 10:26:19.760,2025-01-10 12:15:13.000,ENVIADO,RECIBIDO,6533.24
74877,2025-01-10 10:57:47.817,2025-01-10 12:15:13.000,ENVIADO,RECIBIDO,4645.18
74877,2025-01-10 11:24:29.063,2025-01-10 12:15:13.000,ENVIADO,RECIBIDO,3043.94
74877,2025-01-10 11:24:37.453,2025-01-10 12:15:13.000,ENVIADO,RECIBIDO,3035.55
74877,2025-01-10 11:58:44.907,2025-01-10 12:15:13.000,ENVIADO,RECIBIDO,988.09
74888,2025-01-10 13:34:34.173,2025-01-10 14:36:08.000,ENVIADO,RECIBIDO,3693.83
74888,2025-01-10 14:01:38.017,2025-01-10 14:36:08.000,ENVIADO,RECIBIDO,2069.98
74922,2025-01-13 12:02:23.377,2025-01-13 14:36:05.000,ENVIADO,RECIBIDO,9221.62
74922,2025-01-13 13:09:12.400,2025-01-13 14:36:05.000,ENVIADO,RECIBIDO,5212.60
74922,2025-01-13 13:12:00.247,2025-01-13 14:36:05.000,ENVIADO,RECIBIDO,5044.75
74922,2025-01-13 13:28:28.217,2025-01-13 14:36:05.000,ENVIADO,RECIBIDO,4056.78
74922,2025-01-13 14:01:37.173,2025-01-13 14:36:05.000,ENVIADO,RECIBIDO,2067.83
74945,2025-01-14 07:56:38.317,2025-01-14 12:15:14.000,ENVIADO,RECIBIDO,15515.68
74945,2025-01-14 08:35:23.943,2025-01-14 12:15:14.000,ENVIADO,RECIBIDO,13190.06
74945,2025-01-14 09:19:16.577,2025-01-14 12:15:14.000,ENVIADO,RECIBIDO,10557.42
74945,2025-01-14 10:12:17.887,2025-01-14 12:15:14.000,ENVIADO,RECIBIDO,7376.11
74945,2025-01-14 10:13:01.217,2025-01-14 12:15:14.000,ENVIADO,RECIBIDO,7332.78
74945,2025-01-14 10:14:22.907,2025-01-14 12:15:14.000,ENVIADO,RECIBIDO,7251.09
74945,2025-01-14 10:58:48.813,2025-01-14 12:15:14.000,ENVIADO,RECIBIDO,4585.19
74945,2025-01-14 11:02:17.300,2025-01-14 12:15:14.000,ENVIADO,RECIBIDO,4376.70
74945,2025-01-14 11:07:12.700,2025-01-14 12:15:14.000,ENVIADO,RECIBIDO,4081.30
74945,2025-01-14 11:19:15.023,2025-01-14 12:15:14.000,ENVIADO,RECIBIDO,3358.98
74945,2025-01-14 11:23:56.263,2025-01-14 12:15:14.000,ENVIADO,RECIBIDO,3077.74
74956,2025-01-14 13:45:31.280,2025-01-14 14:36:04.000,ENVIADO,RECIBIDO,3032.72
74956,2025-01-14 13:52:43.553,2025-01-14 14:36:04.000,ENVIADO,RECIBIDO,2600.45
74956,2025-01-14 14:07:22.477,2025-01-14 14:36:04.000,ENVIADO,RECIBIDO,1721.52
74979,2025-01-15 01:56:56.933,2025-01-15 12:15:12.000,ENVIADO,RECIBIDO,37095.07
74979,2025-01-15 07:14:34.903,2025-01-15 12:15:12.000,ENVIADO,RECIBIDO,18037.10
74979,2025-01-15 08:31:59.973,2025-01-15 12:15:12.000,ENVIADO,RECIBIDO,13392.03
74979,2025-01-15 10:13:44.917,2025-01-15 12:15:12.000,ENVIADO,RECIBIDO,7287.08
74979,2025-01-15 10:31:25.877,2025-01-15 12:15:12.000,ENVIADO,RECIBIDO,6226.12
