ID_TRANSACCION,IND_TRANSACCION,IND_ESTADO_OPERACION,FEC_OPERACION_CCE,FEC_RESPUESTA_CCE,FEC_REGISTRO,FEC_MODIFICO,VAL_SEGUNDOS_CCE,VAL_SEGUNDOS_CMACT
2128,SALIENTE,F,2025-11-02 20:27:24.000,2025-11-02 20:27:30.000,2025-11-02 20:27:24.480,2025-11-02 20:27:25.360,6.00,0.88
2129,SALIENTE,F,2025-11-02 20:29:15.000,2025-11-02 20:29:15.000,2025-11-02 20:29:15.387,2025-11-02 20:29:16.320,0.00,0.93
2132,SALIENTE,F,2025-11-02 22:20:06.000,2025-11-02 22:20:06.000,2025-11-02 22:20:06.217,2025-11-02 22:20:06.903,0.00,0.69
2133,SALIENTE,F,2025-11-02 22:43:21.000,2025-11-02 22:43:21.000,2025-11-02 22:43:21.433,2025-11-02 22:43:22.123,0.00,0.69
2134,SALIENTE,F,2025-11-03 00:55:53.000,2025-11-03 00:55:54.000,2025-11-03 00:55:53.747,2025-11-03 00:55:54.463,1.00,0.72
2135,SALIENTE,F,2025-11-03 05:44:08.000,2025-11-03 05:44:14.000,2025-11-03 05:44:08.307,2025-11-03 05:44:09.447,6.00,1.14
2143,SALIENTE,F,2025-11-03 08:18:16.000,2025-11-03 08:18:17.000,2025-11-03 08:18:16.447,2025-11-03 08:18:17.457,1.00,1.01
2144,SALIENTE,F,2025-11-03 08:36:39.000,2025-11-03 08:36:39.000,2025-11-03 08:36:39.373,2025-11-03 08:36:40.173,0.00,0.80
2146,SALIENTE,F,2025-11-03 08:45:30.000,2025-11-03 08:45:30.000,2025-11-03 08:45:30.100,2025-11-03 08:45:30.997,0.00,0.90
2148,SALIENTE,F,2025-11-03 08:46:32.000,2025-11-03 08:46:32.000,2025-11-03 08:46:32.183,2025-11-03 08:46:32.850,0.00,0.67
2149,SALIENTE,F,2025-11-03 08:46:49.000,2025-11-03 08:46:49.000,2025-11-03 08:46:49.427,2025-11-03 08:46:50.297,0.00,0.87
